Data;Saiu;Entrou;Custo_Transferido;Data_Original
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-26;USDT;SUI;0,0;2025-06-24
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-26
2025-06-27;SUI;USDT;0,0;2025-06-27
2025-06-27;SUI;USDT;0,0;2025-06-27
2025-06-27;SUI;USDT;0,0;2025-06-27
2025-06-27;SUI;USDT;0,0;2025-06-27
