Data;Moeda;Qtd;Tipo;Status
2021-01-24;XRP;3003,75;ENTRADA;Entrada Direta/Rendimento
2021-01-24;XRP;1000,0;ENTRADA;Entrada Direta/Rendimento
2021-02-02;STX;1234,374822;ENTRADA;Entrada Direta/Rendimento
2021-02-06;ETH;6,0;ENTRADA;Entrada Direta/Rendimento
2021-02-14;ADA;48,788151;ENTRADA;Entrada Direta/Rendimento
2021-02-15;EUR;35,28;SAÍDA;Levantamento Externo
2021-02-16;XLM;2718,0;SAÍDA;Levantamento Externo
2021-02-18;ADA;10,0;ENTRADA;Entrada Direta/Rendimento
2021-02-18;ADA;48000,0;ENTRADA;Entrada Direta/Rendimento
2021-02-20;BTC;0,25158378;ENTRADA;Entrada Direta/Rendimento
2021-03-08;EUR;400,8;SAÍDA;Levantamento Externo
2021-03-10;EUR;1800,0;SAÍDA;Levantamento Externo
2021-03-17;EUR;1500,0;SAÍDA;Levantamento Externo
2021-03-22;EUR;2000,8;SAÍDA;Levantamento Externo
2021-04-01;ADA;1,0;ENTRADA;Entrada Direta/Rendimento
2021-04-04;XRP;3000,25;SAÍDA;Levantamento Externo
2021-04-08;ADA;1007,9905;ENTRADA;Entrada Direta/Rendimento
2021-04-08;BTC;0,18192083;ENTRADA;Entrada Direta/Rendimento
2021-04-14;USDC;10015,0;SAÍDA;Levantamento Externo
2021-04-14;USDC;10015,0;SAÍDA;Levantamento Externo
2021-04-15;EGLD;0,95;SAÍDA;Levantamento Externo
2021-04-15;EGLD;35,008;SAÍDA;Levantamento Externo
2021-04-19;VET;10,0;ENTRADA;Entrada Direta/Rendimento
2021-04-19;VET;50742,402;ENTRADA;Entrada Direta/Rendimento
2021-04-19;ADA;2750,0;ENTRADA;Entrada Direta/Rendimento
2021-04-22;EUR;6763,77;SAÍDA;Levantamento Externo
2021-04-22;ETH;5,005;SAÍDA;Levantamento Externo
2021-04-22;BNB;0,15;ENTRADA;Entrada Direta/Rendimento
2021-04-22;BNB;49,89212452;ENTRADA;Entrada Direta/Rendimento
2021-05-06;ADA;1566,0;ENTRADA;Entrada Direta/Rendimento
2021-05-07;LINK;250,0;ENTRADA;Entrada Direta/Rendimento
2021-05-09;ADA;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-05-09;ADA;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-05-10;EUR;3824,43;SAÍDA;Levantamento Externo
2021-05-10;EUR;6285,0;SAÍDA;Levantamento Externo
2021-05-15;LUNA;5,02;SAÍDA;Levantamento Externo
2021-05-15;LUNA;166,593;SAÍDA;Levantamento Externo
2021-05-15;USDC;1851,0;SAÍDA;Levantamento Externo
2021-05-16;LUNA;233,4;SAÍDA;Levantamento Externo
2021-05-16;LUNA;497,2;SAÍDA;Levantamento Externo
2021-05-17;EUR;2018,41;SAÍDA;Levantamento Externo
2021-05-18;SOL;0,027;SAÍDA;Levantamento Externo
2021-05-18;SOL;2,52;SAÍDA;Levantamento Externo
2021-05-18;SOL;0,0129;ENTRADA;Entrada Direta/Rendimento
2021-05-23;LINK;250,0;ENTRADA;Entrada Direta/Rendimento
2021-05-23;ETH;5,0;ENTRADA;Entrada Direta/Rendimento
2021-05-23;ADA;30246,0;ENTRADA;Entrada Direta/Rendimento
2021-05-24;ADA;50603,0;ENTRADA;Entrada Direta/Rendimento
2021-05-28;THETA;1,3;SAÍDA;Levantamento Externo
2021-05-28;THETA;999,7;SAÍDA;Levantamento Externo
2021-05-28;ADA;51060,0;ENTRADA;Entrada Direta/Rendimento
2021-05-28;USDT;100,0;SAÍDA;Levantamento Externo
2021-05-28;USDT;30258,090147;SAÍDA;Levantamento Externo
2021-05-28;USDC;30027,0;SAÍDA;Levantamento Externo
2021-06-04;USDT;17496,955658;SAÍDA;Levantamento Externo
2021-06-05;ETH;4,0;ENTRADA;Entrada Direta/Rendimento
2021-06-06;SOL;248,013;SAÍDA;Levantamento Externo
2021-06-06;ALGO;5093,6279;SAÍDA;Levantamento Externo
2021-06-06;SOL;152,846001;SAÍDA;Levantamento Externo
2021-06-07;LUNA;374,601;SAÍDA;Levantamento Externo
2021-06-08;SOL;100,0;SAÍDA;Levantamento Externo
